Time;Rpm;Const1;RandNum;Sinus;Pulse;Step;RpmRad2
0;29000;138;40;0.2032;223;240;3035.33
0.001;29000;138;40;0.2032;223;240;3035.33
0.002;29000;138;40;0.2032;223;240;3035.33
0.003;29000;138;40;0.2032;223;240;3035.33
0.004;29000;138;40;0.2032;223;240;3035.33
0.005;29000;138;40;0.2032;223;240;3035.33
0.006;29000;138;40;0.2032;223;240;3035.33
0.007;29000;138;40;0.2032;223;240;3035.33
0.008;29000;138;40;0.2032;223;240;3035.33
0.009;29000;138;40;0.2032;223;240;3035.33
0.01;29000;138;40;0.2032;223;240;3035.33
0.011;29000;138;40;0.2032;223;240;3035.33
0.012;29000;138;40;0.2032;223;240;3035.33
0.013;29000;138;40;0.2032;223;240;3035.33
0.014;29000;138;40;0.2032;223;240;3035.33
0.015;29000;138;40;0.2032;223;240;3035.33
0.016;29000;138;40;0.2032;223;240;3035.33
0.017;29000;138;40;0.2032;223;240;3035.33
0.018;29000;138;40;0.2032;223;240;3035.33
0.019;29000;138;40;0.2032;223;240;3035.33
0.02;29000;138;40;0.2032;223;240;3035.33
0.021;29000;138;40;0.2032;223;240;3035.33
0.022;29000;138;40;0.2032;223;240;3035.33
0.023;29000;138;40;0.2032;223;240;3035.33
0.024;29000;138;40;0.2032;223;240;3035.33
0.025;29000;138;40;0.2032;223;240;3035.33
0.026;29000;138;40;0.2032;223;240;3035.33
0.027;29000;138;40;0.2032;223;240;3035.33
0.028;29000;138;40;0.2032;223;240;3035.33
0.029;29000;138;40;0.2032;223;240;3035.33
0.03;29000;138;40;0.2032;223;240;3035.33
0.031;29000;138;40;0.2032;223;240;3035.33
0.032;29000;138;40;0.2032;223;240;3035.33
0.033;29000;138;40;0.2032;223;240;3035.33
0.034;29000;138;40;0.2032;223;240;3035.33
0.035;29000;138;40;0.2032;223;240;3035.33
0.036;29000;138;40;0.2032;223;240;3035.33
0.037;29000;138;40;0.2032;223;240;3035.33
0.038;29000;138;40;0.2032;223;240;3035.33
0.039;29000;138;40;0.2032;223;240;3035.33
0.04;29000;138;40;0.2032;223;240;3035.33
0.041;29000;138;40;0.2032;223;240;3035.33
0.042;29000;138;40;0.2032;223;240;3035.33
0.043;29000;138;40;0.2032;223;240;3035.33
0.044;29000;138;40;0.2032;223;240;3035.33
0.045;29000;138;40;0.2032;223;240;3035.33
0.046;29000;138;40;0.2032;223;240;3035.33
0.047;29000;138;40;0.2032;223;240;3035.33
0.048;29000;138;40;0.2032;223;240;3035.33
0.049;29000;138;40;0.2032;223;240;3035.33
0.05;29000;138;40;0.2032;223;240;3035.33
0.051;29000;138;40;0.2032;223;240;3035.33
0.052;29000;138;40;0.2032;223;240;3035.33
0.053;29000;138;40;0.2032;223;240;3035.33
0.054;29000;138;40;0.2032;223;240;3035.33
0.055;29000;138;40;0.2032;223;240;3035.33
0.056;29000;138;40;0.2032;223;240;3035.33
0.057;29000;138;40;0.2032;223;240;3035.33
0.058;29000;138;40;0.2032;223;240;3035.33
